# Thermal camera ROI: 12 rows x 10 columns from FLIR Lepton 3.5
# Scene: same as frame A, captured 100 ms later
# Person has moved approximately 1 pixel to the right
# Thermal noise: +/- 2 LSB relative to frame A
# type: uint8
# size: [12, 10]
83,84,83,80,80,83,77,83,84,84
77,82,80,80,84,80,83,82,84,79
83,84,77,114,118,123,119,112,84,81
77,79,78,114,127,131,125,116,80,80
78,82,79,112,122,130,124,114,82,80
81,81,82,112,120,126,121,113,80,83
83,82,82,110,118,122,123,109,82,78
80,82,77,78,115,120,116,82,78,81
79,81,84,81,108,79,113,84,79,84
77,77,79,82,107,84,110,79,77,84
78,80,79,77,77,78,84,83,77,82
80,78,80,83,84,77,81,83,84,80
