# Horizontal gradient of thermal frame B (Sobel edge detection output)
# Same scene as gradient_frame_A, captured 100 ms later
# Edges shifted slightly due to person motion
# type: int16
# size: [12, 10]
1,-5,2,4,2,2,1,2,2,0
0,-2,-1,1,1,3,2,-4,-3,3
3,2,-5,33,7,7,-1,-2,-26,-2
3,3,-1,35,7,4,-5,-3,-37,-2
-2,3,-3,32,10,4,-2,-9,-32,3
-1,-4,1,27,11,4,2,-9,-30,-3
4,0,-4,26,9,3,-3,-5,-27,2
0,4,4,1,30,5,-1,-26,1,2
-4,1,1,-4,23,2,2,-23,-1,-1
1,4,1,-3,25,-3,1,-24,1,2
3,2,3,0,-1,-1,1,-3,1,-2
1,-2,-4,1,3,-4,4,3,2,1
